Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T957,957,-0.10187058,37.340050,753936.,753815.,753724.,750718.,748628.,748621.,748619.,746315.,746235.,746227.,743544.,743454.,741352.,741352.,741352.
T958,958,-12.879998,-41.400950,334491.,334382.,334060.,333368.,332509.,332725.,332693.,332501.,331628.,331514.,330777.,330760.,329755.,329755.,329755.
T959,959,9.2858446,104.93935,363291.,366596.,367370.,366242.,365731.,363280.,359485.,356190.,351423.,349062.,342113.,340838.,341240.,341240.,341240.
T960,960,13.007769,-12.914590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T961,961,9.5161361,-83.467280,1.98497e+007,1.98485e+007,1.98474e+007,1.98456e+007,1.98437e+007,1.98422e+007,1.98411e+007,1.98398e+007,1.98379e+007,1.98263e+007,1.98247e+007,1.98235e+007,1.98210e+007,1.98210e+007,1.98210e+007
T962,962,10.159960,-83.974420,1.50436e+007,1.47051e+007,1.50242e+007,1.46905e+007,1.37787e+007,1.40572e+007,1.34805e+007,1.29564e+007,1.29396e+007,1.22207e+007,1.19970e+007,1.19903e+007,1.24291e+007,1.24291e+007,1.24291e+007
T963,963,8.5424500,-83.570940,2.95444e+007,2.95362e+007,2.95214e+007,2.95079e+007,2.95020e+007,2.79376e+007,2.79310e+007,2.79253e+007,2.65086e+007,2.64752e+007,2.64699e+007,2.51704e+007,2.51534e+007,2.51534e+007,2.51534e+007
T964,964,-11.381408,-40.522250,681972.,686414.,687154.,682461.,676507.,679351.,670181.,663138.,659864.,652243.,630070.,630593.,627318.,627318.,627318.
T965,965,22.405437,105.61528,3.72562e+006,3.69874e+006,3.69721e+006,3.71845e+006,3.66142e+006,3.63082e+006,3.57896e+006,3.59776e+006,3.66410e+006,3.65426e+006,3.62179e+006,3.63723e+006,3.63262e+006,3.63262e+006,3.63262e+006
T966,966,35.992531,9.6157800,201260.,201260.,201260.,198379.,198379.,198313.,198266.,198186.,196835.,195934.,195147.,190048.,189799.,189799.,189799.
T967,967,10.422062,-84.015000,5.39045e+006,5.36335e+006,5.24946e+006,5.18899e+006,5.18023e+006,5.12118e+006,5.10028e+006,5.27266e+006,4.94614e+006,4.76227e+006,4.74232e+006,4.88422e+006,4.87802e+006,4.87802e+006,4.87802e+006
