Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T957,957,-0.10187058,37.340050,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0,18900.0
T958,958,-12.879998,-41.400950,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0
T959,959,9.2858446,104.93935,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,17100.0,17100.0,17100.0,17100.0
T960,960,13.007769,-12.914590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T961,961,9.5161361,-83.467280,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0,16200.0
T962,962,10.159960,-83.974420,18900.0,20700.0,20700.0,20700.0,18900.0,20700.0,18900.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
T963,963,8.5424500,-83.570940,32400.0,32400.0,32400.0,32400.0,32400.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,27900.0,27900.0,27900.0,27900.0
T964,964,-11.381408,-40.522250,24300.0,24300.0,24300.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0
T965,965,22.405437,105.61528,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18900.0,18000.0,18000.0,18000.0
T966,966,35.992531,9.6157800,30600.0,30600.0,30600.0,30600.0,30600.0,30600.0,30600.0,30600.0,30600.0,29700.0,29700.0,29700.0,29700.0,29700.0,29700.0
T967,967,10.422062,-84.015000,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0
T968,968,9.7588276,-83.783790,19800.0,20700.0,20700.0,19800.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,19800.0,19800.0,19800.0,19800.0
T969,969,10.383422,-85.334240,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,26100.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0
T970,970,10.173120,-85.593610,20700.0,21600.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0
T971,971,10.449002,-83.506830,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0
T972,972,3.8666921,11.516670,19800.0,21600.0,21600.0,18900.0,18900.0,18900.0,18000.0,18000.0,18900.0,18000.0,18900.0,18900.0,18900.0,18900.0,18900.0
T973,973,36.819350,10.165790,17100.0,17100.0,17100.0,18900.0,18900.0,18900.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0,17100.0
T974,974,12.650077,-8.0000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T975,975,0.31628180,32.582190,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0
T976,976,38.895544,-77.036370,22500.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0
T977,977,-21.139525,-175.20180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1276,1276,38.478992,57.033450,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
T1277,1277,0.052870300,40.310550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1278,1278,13.053780,-86.590040,19800.0,19800.0,19800.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,21600.0,20700.0,20700.0,20700.0
T1279,1279,12.726837,-86.380570,22500.0,23400.0,23400.0,23400.0,22500.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0
T1280,1280,12.505046,-86.299420,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0,23400.0
T1281,1281,13.229641,-86.867440,21600.0,21600.0,22500.0,21600.0,22500.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
T1282,1282,13.199311,-86.771700,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0,20700.0
T1283,1283,12.886948,-86.539030,21600.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,21600.0,21600.0,22500.0,22500.0,21600.0,21600.0,21600.0
T1284,1284,12.801238,-86.369940,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0,22500.0
T1285,1285,14.483420,-16.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1286,1286,14.850092,-15.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1287,1287,15.050994,-15.715600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1288,1288,14.133417,-16.666670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1289,1289,15.076594,-16.760200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1290,1290,14.700091,-16.883330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1291,1291,13.833415,-15.416670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1292,1292,14.066757,-15.933330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T1293,1293,9.4300555,-82.520000,16200.0,16200.0,16200.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,16200.0,17100.0,17100.0,17100.0
T1294,1294,40.753429,73.415270,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0,15300.0
