Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T957,957,-0.10187058,37.340050,365.000,365.000,365.000,366.000,367.000,367.000,367.000,368.000,368.000,368.000,369.000,369.000,370.000,370.000,370.000
T958,958,-12.879998,-41.400950,742.000,742.000,742.000,742.000,743.000,742.000,741.000,741.000,742.000,742.000,742.000,742.000,743.000,743.000,743.000
T959,959,9.2858446,104.93935,504.000,498.000,493.000,493.000,492.000,492.000,495.000,496.000,500.000,501.000,508.000,509.000,507.000,507.000,507.000
T960,960,13.007769,-12.914590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T961,961,9.5161361,-83.467280,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000
T962,962,10.159960,-83.974420,45.0000,46.0000,45.0000,46.0000,49.0000,48.0000,50.0000,52.0000,52.0000,55.0000,56.0000,56.0000,54.0000,54.0000,54.0000
T963,963,8.5424500,-83.570940,18.0000,18.0000,18.0000,18.0000,18.0000,19.0000,19.0000,19.0000,20.0000,20.0000,20.0000,21.0000,21.0000,21.0000,21.0000
T964,964,-11.381408,-40.522250,581.000,576.000,575.000,576.000,578.000,574.000,578.000,582.000,581.000,585.000,596.000,595.000,596.000,596.000,596.000
T965,965,22.405437,105.61528,153.000,154.000,154.000,153.000,155.000,156.000,158.000,157.000,154.000,154.000,155.000,154.000,154.000,154.000,154.000
T966,966,35.992531,9.6157800,246.000,246.000,246.000,247.000,247.000,247.000,247.000,247.000,248.000,247.000,247.000,249.000,249.000,249.000,249.000
T967,967,10.422062,-84.015000,112.000,112.000,114.000,115.000,115.000,116.000,116.000,112.000,119.000,123.000,123.000,119.000,119.000,119.000,119.000
