Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T957,957,-0.10187058,37.340050,0.226198,0.226798,0.226980,0.230548,0.230556,0.230614,0.230634,0.232003,0.232380,0.232454,0.235453,0.235943,0.236109,0.236110,0.236110
T958,958,-12.879998,-41.400950,0.468226,0.468472,0.469759,0.470713,0.471957,0.473117,0.475005,0.476225,0.477774,0.478724,0.483123,0.483301,0.485217,0.485217,0.485217
T959,959,9.2858446,104.93935,0.537152,0.542327,0.561671,0.568287,0.573012,0.582940,0.588991,0.599583,0.606144,0.613159,0.618212,0.622196,0.626629,0.626629,0.626629
T960,960,13.007769,-12.914590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T961,961,9.5161361,-83.467280,0.0317721,0.0320513,0.0323123,0.0326326,0.0330072,0.0334277,0.0336386,0.0338640,0.0341291,0.0353798,0.0357313,0.0360110,0.0367929,0.0367930,0.0367930
T962,962,10.159960,-83.974420,0.0725258,0.0731469,0.0737254,0.0744190,0.0758078,0.0768583,0.0780724,0.0786196,0.0794383,0.0810623,0.0819157,0.0826263,0.0834407,0.0834408,0.0834408
T963,963,8.5424500,-83.570940,0.0430680,0.0438427,0.0450061,0.0465066,0.0468356,0.0478980,0.0487497,0.0492231,0.0508997,0.0532757,0.0540713,0.0565679,0.0580929,0.0580929,0.0580929
T964,964,-11.381408,-40.522250,0.277713,0.277606,0.277939,0.281588,0.283353,0.284664,0.286301,0.290750,0.294068,0.295506,0.305106,0.305782,0.308838,0.308838,0.308838
T965,965,22.405437,105.61528,0.200212,0.202457,0.203688,0.206100,0.212878,0.216625,0.219727,0.222449,0.224200,0.228688,0.232725,0.238096,0.241754,0.241755,0.241755
T966,966,35.992531,9.6157800,0.498576,0.498576,0.498576,0.512615,0.512615,0.512564,0.513255,0.514086,0.515580,0.518518,0.523662,0.537685,0.539188,0.539188,0.539188
T967,967,10.422062,-84.015000,0.205162,0.213452,0.217519,0.222591,0.225158,0.228743,0.235253,0.238042,0.242266,0.250916,0.257106,0.261488,0.264094,0.264094,0.264094
