Gid, Id, LAT,LON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
T957,957,-0.10187058,37.340050,9.73538e+006,9.73360e+006,9.73248e+006,9.70680e+006,9.69104e+006,9.69092e+006,9.69090e+006,9.66993e+006,9.66910e+006,9.66897e+006,9.64577e+006,9.64431e+006,9.63063e+006,9.63063e+006,9.63063e+006
T958,958,-12.879998,-41.400950,3.33793e+006,3.33736e+006,3.33614e+006,3.33192e+006,3.32765e+006,3.32854e+006,3.32862e+006,3.32684e+006,3.32152e+006,3.31970e+006,3.31464e+006,3.31449e+006,3.30835e+006,3.30835e+006,3.30835e+006
T959,959,9.2858446,104.93935,5.28471e+006,5.29993e+006,5.26898e+006,5.24884e+006,5.23146e+006,5.18703e+006,5.14365e+006,5.10087e+006,5.06193e+006,5.03296e+006,4.96973e+006,4.95553e+006,4.95109e+006,4.95109e+006,4.95109e+006
T960,960,13.007769,-12.914590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T961,961,9.5161361,-83.467280,1.17300e+008,1.17293e+008,1.17286e+008,1.17276e+008,1.17265e+008,1.17256e+008,1.17249e+008,1.17241e+008,1.17230e+008,1.17161e+008,1.17152e+008,1.17145e+008,1.17130e+008,1.17130e+008,1.17130e+008
T962,962,10.159960,-83.974420,1.00432e+008,9.92543e+007,1.00304e+008,9.91615e+007,9.59861e+007,9.69239e+007,9.48116e+007,9.29282e+007,9.27899e+007,9.01254e+007,8.92757e+007,8.92329e+007,9.08374e+007,9.08374e+007,9.08374e+007
T963,963,8.5424500,-83.570940,1.24408e+008,1.24375e+008,1.24313e+008,1.24256e+008,1.24231e+008,1.20867e+008,1.20838e+008,1.20815e+008,1.17667e+008,1.17529e+008,1.17506e+008,1.14621e+008,1.14557e+008,1.14557e+008,1.14557e+008
T964,964,-11.381408,-40.522250,1.35326e+007,1.35757e+007,1.35786e+007,1.35107e+007,1.34410e+007,1.34761e+007,1.33738e+007,1.32907e+007,1.32419e+007,1.31076e+007,1.28245e+007,1.28290e+007,1.27880e+007,1.27880e+007,1.27880e+007
T965,965,22.405437,105.61528,4.48436e+007,4.46637e+007,4.46447e+007,4.47549e+007,4.43508e+007,4.41173e+007,4.37115e+007,4.38014e+007,4.41801e+007,4.40640e+007,4.37649e+007,4.38102e+007,4.37543e+007,4.37543e+007,4.37543e+007
T966,966,35.992531,9.6157800,1.03096e+006,1.03096e+006,1.03096e+006,1.02045e+006,1.02045e+006,1.02045e+006,1.02016e+006,1.01970e+006,1.01573e+006,1.01302e+006,1.00855e+006,966310.,965424.,965424.,965424.
T967,967,10.422062,-84.015000,5.66221e+007,5.63326e+007,5.56335e+007,5.52277e+007,5.51279e+007,5.47372e+007,5.45141e+007,5.53809e+007,5.35247e+007,5.23822e+007,5.21596e+007,5.28437e+007,5.27769e+007,5.27769e+007,5.27769e+007
T968,968,9.7588276,-83.783790,7.38376e+007,7.47226e+007,7.46684e+007,7.46269e+007,7.50714e+007,7.43929e+007,7.47724e+007,7.22445e+007,7.16229e+007,6.97534e+007,6.97091e+007,7.00533e+007,7.04231e+007,7.04231e+007,7.04231e+007
T969,969,10.383422,-85.334240,6.31999e+006,6.31582e+006,6.31179e+006,6.31447e+006,6.31540e+006,6.21804e+006,6.21546e+006,6.21111e+006,6.22196e+006,6.15577e+006,6.16623e+006,6.17020e+006,6.17370e+006,6.17370e+006,6.17370e+006
T970,970,10.173120,-85.593610,3.36370e+007,3.35044e+007,3.36039e+007,3.35880e+007,3.30978e+007,3.25955e+007,3.25473e+007,3.24444e+007,3.21473e+007,3.21370e+007,3.20846e+007,3.21021e+007,3.20939e+007,3.20939e+007,3.20939e+007
T971,971,10.449002,-83.506830,4.71653e+007,4.70801e+007,4.69649e+007,4.61162e+007,4.60817e+007,4.55339e+007,4.55115e+007,4.49583e+007,4.48918e+007,4.48419e+007,4.42536e+007,4.41723e+007,4.41425e+007,4.41425e+007,4.41425e+007
T972,972,3.8666921,11.516670,4.71706e+007,4.65673e+007,4.63354e+007,4.37988e+007,4.42648e+007,4.31531e+007,4.26275e+007,4.25630e+007,4.13488e+007,4.11047e+007,4.02196e+007,4.01960e+007,4.01760e+007,4.01760e+007,4.01760e+007
