"","LTDR_outcome_mean","LTDR_outcome_max","pre_average_NTL","pre_average_LTDR","pre_max_LTDR","pre_min_temp","pre_max_temp","pre_average_temp","pre_max_precip","pre_min_precip","pre_average_precip","post_implementation_time","year","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","treatment","latitude","longitude","total_disbursements","MultiFocal","pred_trt_NDVI"
"1",2.33768204752667e-05,7.73536507161333e-05,0.565978267430633,2125.00897020032,7333.38252898129,15.7532258064516,18.7935483870968,17.2938844086021,322.318548387097,12.8411290322581,110.462231182796,2,"2012",4020.16796875,7755.15966796875,2916.85361964,6.20409822464,661.682460515,43.2056655883789,1,46.1302671179,1,-0.10187057865626,37.34005,5047445.99233,1,5.7825577714515e-06
"14",3.14149325561625e-05,7.176540649415e-05,0.336891480730213,2920.20538799577,6815.83811598538,19.6432692307692,24.4865384615385,22.3688301282051,235.941346153846,7.18846153846154,69.1029647435897,7,"2007",2099.66674804688,2363.69384765625,927.155938538,4.75147438049,277.59643436,7.4622917175293,0,27.3082821114,1,-12.8799983166436,-41.40095,10755001.0755,1,-1.52843556251771e-06
"96",1.348396313476e-05,5.633949414062e-05,0.800473718006316,1554.50066928103,5641.70376481586,25.6724137931034,28.9827586206897,27.3146551724138,390.201724137931,2.88448275862069,147.229597701149,4,"2010",2456.02978515625,298008.09375,2.38115384615,0.116362050176,284.137600806,227.099945068359,2,12.9259582996,1,9.28584463761423,104.93935,4504572.50629,1,1.27011051704115e-07
"216",2.69966452026375e-05,7.21703424072375e-05,0,2457.79390305731,6691.70008263192,25.9836538461538,33.5115384615385,29.0809294871795,277.996153846154,0.00576923076923077,75.0585737179487,7,"2007",2277.71923828125,3890.89965820312,80.0900414938,0.835217416286,353.574502639,4.50893211364746,2,12.5596511568,1,13.0077692020178,-12.91459,3914820.39148,0,-2.84639680262961e-05
"367",1.75860847981667e-05,7.37677929687333e-05,0.733404161327314,1729.74087622871,7267.42367061484,19.4870967741935,21.7725806451613,20.7405913978495,583.279032258064,73.8016129032258,301.648051075269,2,"2012",2628.15991210938,8210.9306640625,1984.81590002,13.8069210052,503.946289463,41.104175567627,2,85.5370883693,1,9.51613609228722,-83.46728,4439882.89925,1,5.7825577714515e-06
"372",1.60307800293e-05,6.96649804687333e-05,11.3185943939343,1673.49166377871,6912.9207251771,21.5516129032258,24.0274193548387,22.8360887096774,599.152419354839,120.906451612903,350.59563172043,2,"2012",3030.38793945312,1508.35595703125,1069.56544064,6.96079158783,242.371463715,457.8955078125,0,77.2812808353,1,10.1599601999085,-83.97442,4439882.89925,1,-4.54970670733058e-06
"369",1.53257454427333e-05,6.56153662109667e-05,0.241141621000062,1534.18792134032,5973.80249811,27.4032258064516,29.5225806451613,28.4397849462366,800.003225806452,127.745161290323,428.459946236559,2,"2012",71855.6015625,6050.13037109375,173.188047809,4.45905542374,519.798891528,15.9580755233765,0,47.1342399412,1,8.54244999096144,-83.57094,4439882.89925,1,-2.84639680262961e-05
"16",2.84640423583875e-05,7.17061743164e-05,2.31821428571438,2833.22242149846,7055.42027869577,19.8942307692308,25.0365384615385,22.8960737179487,194.175,9.14711538461538,61.8651442307692,7,"2007",1985.58483886719,1587.99926757812,588.985286445,3.61463165283,166.399348003,25.7355804443359,0,33.9171708764,1,-11.3814081721394,-40.52225,10755001.0755,1,5.7825577714515e-06
"330",2.403912158202e-05,7.887252832032e-05,0.0734857651157647,2430.09140119931,7702.29849137931,12.6594827586207,26.2137931034483,20.5742816091954,383.422413793103,6.7198275862069,139.120114942529,4,"2010",2070.662109375,2743.59692382812,531.381506309,10.2905931473,256.57953668,57.0726203918457,0,64.941693459,1,22.4054370153792,105.61528,685818.315172,1,5.7825577714515e-06
"334",1.97627255249e-05,5.421880126955e-05,1.58168904084985,1754.02452392567,4678.92434081967,7.925,27.8925,17.2397916666667,90.695,5.47,37.1681944444444,3,"2011",2897.33251953125,3273.50341796875,537.700918385,3.36910700798,154.462321792,67.7230377197266,0,3.11015424484,1,35.9925312277788,9.61578,4933399.11199,1,1.48653383104002e-07
"378",2.29942822265667e-05,7.64168636068e-05,3.1589145631701,2253.40485997355,7360.09111958129,23.4258064516129,25.8838709677419,24.7280913978495,625.445161290323,113.012096774194,355.569623655914,2,"2012",1690.84692382812,1334.6376953125,229.234770777,2.03895807266,272.307692308,72.6306076049805,0,72.3392174231,1,10.4220618901335,-84.015,4439882.89925,1,-1.78271211852901e-05
"377",1.66040079752667e-05,7.04026578776e-05,8.06691787446095,1728.51969269742,6874.63555317548,21.2435483870968,23.8435483870968,22.5568548387097,578.477419354839,109.595161290323,327.913440860215,2,"2012",2763.05859375,1832.04370117188,1801.98729659,9.89224529266,176.450225317,165.225555419922,1,74.156904854,1,9.75882763347585,-83.78379,4439882.89925,1,-4.54970670733058e-06
"374",2.76349715169333e-05,7.70573095703e-05,3.458128750682,2895.38330078129,7154.09091481903,24.3854838709677,27.8193548387097,25.7564516129032,443.151612903226,11.0822580645161,173.719623655914,2,"2012",6661.8427734375,584.395080566406,56.9660837308,1.67684173584,306.650352551,27.2490615844727,0,25.4311958374,1,10.3834216402756,-85.33424,4439882.89925,1,9.24680669474087e-06
"371",2.67166105143333e-05,7.74927783203e-05,3.46623004502567,2786.03849546452,7400.95161290355,25.7,29.6387096774194,27.2424731182796,431.838709677419,0.0290322580645161,138.060483870968,2,"2012",14146.318359375,389.419830322266,188.162906186,4.77662372589,377.505089059,32.9350929260254,1,48.0653459393,1,10.1731202845197,-85.59361,4439882.89925,1,9.24680669474087e-06
"373",2.04860139974e-05,6.18900764973667e-05,1.51225531570767,2132.93873645419,6173.56749306968,25.2806451612903,27.7983870967742,26.7130376344086,685.104838709677,140.595161290323,397.986021505376,2,"2012",1829.72412109375,4749.77001953125,29.1359663321,0.586491167545,357.638888889,50.9527854919434,1,46.9858681152,1,10.4490020644757,-83.50683,4439882.89925,1,1.27011051704115e-07
"2",3.345778808595e-05,8.4888057861325e-05,6.11535364458,3163.503352865,8138.58273112067,22.5225,25.4816666666667,23.9197916666667,302.235,2.16833333333333,124.423263888889,3,"2011",2494.85668945312,2274.74096679688,714.205794948,1.9738625288,108.086506623,293.896423339844,0,56.9729635048,1,3.86669209795875,11.51667,804144.055254,1,-4.54970670733058e-06
