"","carbonTonnes","LAT","LON"
"1",82042.7656854212,-0.10187058,37.34005
"2",221363.395542956,3.8666921,11.51667
"3",129548.29965017,38.478992,57.03345
"4",89762.9353642766,41.430531,60.90065
"5",126359.291565228,53.215565,63.62463
"6",52015.2218231775,0.0528703,40.31055
"7",117728.637208918,-1.1166763,36.35
"8",96393.160849108,44.867315,82.68333
"9",100471.778230542,44.883976,83
"10",96346.13518794,44.650636,82.83
"11",53489.9887121561,-11.381408,-40.52225
"12",54598.795051892,-9.666727,-38.66667
"13",52701.9776179627,-12.879998,-41.40095
"14",57044.0080375575,-44.000608,-68
"15",49210.0032531113,13.425872,7.84314
"16",13737.8059952941,13.675754,6.9891
"17",12975.66747649,13.974256,7.31528
"18",12886.700528841,13.469892,7.74211
"19",12853.2354338956,13.871755,6.97417
"20",49305.1940542874,13.620083,7.93
"21",12992.6400194476,13.844525,7.58861
"22",12992.6779211031,13.550083,8.05
"23",49017.4349486306,13.655084,6.69444
"24",49268.9094119808,13.533413,7.91667
"25",49400.6631943362,13.738694,8.13472
"26",49159.1397657987,13.546563,7.44618
"27",49077.0876400747,13.466412,7.23488
"28",49095.9523050312,13.949196,6.55501
"29",49150.420600212,13.577193,7.3616
"30",13417.9254186558,14.622311,8.11194
"31",12857.8120646795,13.561283,7.4803
"32",12699.7403732476,13.534523,6.87444
"33",35333.253862433,10.568123,-0.52237
"34",93867.1846144692,10.266731,-1.25
"35",93932.2977402315,10.330331,-1.083
"36",318523.921975189,-19.700131,63.41667
"37",15209.5286909412,12.726837,-86.38057
"38",237255.388202359,13.229641,-86.86744
"39",74110.4430606569,13.05378,-86.59004
"40",74058.8949495911,12.886948,-86.53903
"41",15144.5886136738,12.505046,-86.29942
"42",74121.8031950776,13.199311,-86.7717
"43",15240.5575769162,12.801238,-86.36994
"44",49706.0823519208,-19.948984,-64.06197
"45",8581.74885992614,-21.416817,-60
"46",7455.99343672292,-22.014043,-63.67778
"47",8415.46729384441,-19.800132,-63.2167
"48",66098.4172740706,-25.000185,-59.75
"49",8184.56180349426,-24.000174,-58
"50",78174.5071765275,33.50031,73
"51",33060.4590532285,14.48342,-16.4
"52",7753.40662744444,14.850092,-15.88333
"53",7625.98487759544,15.076594,-16.7602
"54",7452.00645358525,14.700091,-16.88333
"55",7871.0757018096,15.050994,-15.7156
"56",33014.7662985678,14.066757,-15.93333
"57",91688.2656115948,14.133417,-16.66667
"58",33051.3649504206,13.833415,-15.41667
"59",200546.819726526,9.4300555,-82.52
"60",NA,9.5713464,-82.56485
"61",200480.541054284,9.5782065,-83.02348
"62",84502.2040208959,41.053459,72.79827
"63",84516.4986934486,40.770429,73.30068
"64",83621.2210196246,39.942464,70.93051
"65",84490.5747060413,41.011917,72.81554
"66",84537.9541857512,40.753429,73.41527
"67",84408.0413954211,40.706267,72.95695
"68",83640.3925260793,40.063057,70.81939
"69",83894.8828211199,40.14771,71.72962
"70",84446.0607863198,41.039428,72.59018
"71",84223.9462652611,40.516561,72.4996
"72",84464.3876143143,41.060599,72.63285
"73",84418.1192270535,40.994627,72.54603
"74",83239.6920991822,39.839411,69.5276
"75",83678.4365342091,40.16216,70.81959
"76",84008.9827301807,40.244753,72.04475
"77",84385.669695954,40.705087,72.86666
"78",83383.9987878379,40.031296,69.81861
"79",84468.9357065257,40.898694,72.90481
"80",84483.4915741304,41.038098,72.74586
"81",21547.9142061993,30.330076,35.44144
"82",111127.022412591,31.430103,-7.40854
"83",111955.932356219,32.020873,-4.93784
"84",9987.79750145956,28.680221,-9.34822
"85",10532.2183974596,29.341561,-8.15399
"86",111801.459019898,32.064034,-5.6386
"87",47985.9052829633,36.81935,10.16579
"88",82577.2445378102,39.700217,67.03147
"89",89990.6203183055,39.037938,65.585
"90",85057.7470773912,42.067013,73.48586
"91",244781.992945311,1.5461488,111.1322
"92",244777.709982563,0.8623949,112.18689
"93",242035.599603994,-1.2605872,104.27811
"94",243149.975168851,3.5792304,101.25549
"95",244488.205056869,7.7811153,100.15068
"96",246232.428102604,9.2858446,104.93935
"97",244311.351728566,6.1559555,101.97441
"98",246389.222783052,9.5977566,105.09281
"99",243535.23838003,3.2851887,103.29552
"100",250745.449156639,8.1956078,125.14472
"101",251617.145559921,10.916735,124.45
"102",251806.432889593,11.050066,125.01667
"103",250765.03653226,8.1589376,125.2825
"104",NA,10.640563,125.1388
"105",250781.427756905,8.1847678,125.30917
"106",251631.082689882,10.568953,125.0525
"107",251684.718595807,10.731184,125.01791
"108",250726.752378987,8.1575476,125.12778
"109",251672.1273431,10.706064,125.0057
"110",251667.887408075,10.666733,125.05
"111",251635.357934671,10.573063,125.06356
"112",251685.442625262,10.733394,125.01667
"113",251689.216637254,10.747064,125.0107
"114",251652.503707348,10.623463,125.0552
"115",251794.278351283,11.133677,124.835
"116",88613.5095516943,39.000437,60
"117",88507.1759671555,37.663911,61.66007
"118",129548.26176639,38.478992,57.03345
"119",33396.92210275,-17.367052,35.34917
"120",33307.2518296331,-17.420672,35.06583
"121",33312.4252389974,-17.896226,35.83278
"122",92076.6642018124,-17.977337,35.70333
"123",33476.3009040685,-17.13844,35.31556
"124",34516.3910269348,-17.216781,35.78333
"125",34552.111217662,-17.09094,35.73222
"126",33469.7154548518,-17.327051,35.58417
"127",33367.6906614402,-17.319831,35.15472
"128",33442.8285335329,-17.445392,35.65972
"129",33323.6598875326,-17.489003,35.23972
"130",251631.814818302,10.224781,125.59472
"131",248894.207778531,6.0000346,121
"132",16820.7204351181,-12.000072,34.5
"133",166446.895521039,-19.033456,-169.86667
"134",83295.5965925197,39.101679,70.91327
"135",83211.7394301013,39.235353,70.35998
"136",82835.0754876136,37.490137,71.55304
"137",82668.0106694896,39.000437,68.5
"138",93830.4075493299,42.849192,75.34424
"139",88325.105134523,43.422934,59.65232
"140",89763.2958168368,41.430531,60.90065
"141",82600.6183068968,41.260505,72.44972
"142",84334.3500718056,40.904964,72.3426
"143",85197.5374297401,37.333723,68.66667
"144",88613.7061759088,39.000437,60
"145",129548.458390604,38.478992,57.03345
"146",206042.236969523,18.37151,-74.02028
"147",16765.5691527804,15.129024,39.67959
"148",88357.0476223031,15.460127,38.81392
"149",88393.8075836068,15.498707,38.90417
"150",88391.3375767203,15.509237,38.87825
